Username  Project    Strain  AssignmentStatus        MGT2    MGT3    MGT4    MGT5    MGT6    MGT7    MGT8    MGT9
Lanlab  NCBI    Reference       A       1       1       1       1       1       1       1       1
Lanlab  NCBI    GCF_000022165.1_ASM2216v1       A       2       2       2       2       2       2       2       2.1
Lanlab  NCBI    GCF_000027025.1_ASM2702v1       A       2       3       3       3       3       3       3.1     3.1
